"Id","Trismegistos","EDR","PHI","EDCS"
"ISic002820","645216","","334454",""
"ISic002821","645217","","334457",""
"ISic002822","645218","","334458",""
"ISic002823","645219","","334461",""
"ISic002824","645220","","334463",""
"ISic002825","645221","","334465",""
"ISic002826","645222","","334472",""
"ISic002827","645223","","334827",""
"ISic002828","645224","","334481",""
"ISic002829","645225","","334483",""
"ISic002830","284833","108738","331218","64900514"
"ISic002831","645226","","332712",""
"ISic002832","494034","136051","178084 332687 336054","38000223"
"ISic002833","645227","","331408 332693 334896",""
"ISic002834","645228","","334495",""
"ISic002835","645229","","334502",""
"ISic002836","645230","","334503",""
"ISic002837","645231","","334514",""
"ISic002838","645232","","334515",""
"ISic002839","645233","","334848",""
"ISic002840","645234","","334520",""
"ISic002841","645235","","334526",""
"ISic002842","645236","","334529",""
"ISic002843","645237","","334793",""
"ISic002844","645238","","334540",""
"ISic002845","645239","","334548",""
"ISic002846","645240","","334554",""
"ISic002847","645241","","334559",""
"ISic002848","645242","","334562",""
"ISic002849","645243","","334585",""
"ISic002850","645244","","334592",""
"ISic002851","645245","","334593",""
"ISic002852","645246","","334850",""
"ISic002853","645247","","334608",""
"ISic002854","645248","","333205 334852",""
"ISic002855","645249","","334616",""
"ISic002856","645250","","334621",""
"ISic002857","645251","","334534",""
"ISic002858","645252","","334756",""
"ISic002859","645253","","334757",""
"ISic002860","645254","","334766",""
"ISic002861","645255","","334464",""
"ISic002862","645256","","334491",""
"ISic002863","645257","","334511",""
"ISic002864","645258","","334517",""
"ISic002865","645259","","334796",""
"ISic002866","645260","","334798",""
"ISic002867","645261","","334541",""
"ISic002868","645262","","334811",""
"ISic002869","645263","","334557",""
"ISic002870","645264","","334820",""
"ISic002871","645265","","334821",""
"ISic002872","645266","","334578",""
"ISic002873","645267","","334836",""
"ISic002874","645268","","334599",""
"ISic002875","645269","","334828",""
"ISic002876","645270","","334897",""
"ISic002877","645271","","332711",""
"ISic002878","645272","","178079","38000218"
"ISic002879","175858","","337234","64300052"
"ISic002880","645273","","334627",""
"ISic002881","645274","","334770",""
"ISic002882","645275","","334617",""
"ISic002883","645276","","334882",""
"ISic002884","645277","","334885",""
"ISic002885","645278","","334884",""
"ISic002886","645279","","334814",""
"ISic002887","645280","","334892",""
"ISic002888","645281","","334406",""
"ISic002889","645282","","334407",""
"ISic002890","645283","","334413",""
"ISic002891","645284","","334422",""
"ISic002892","645285","","334430",""
"ISic002893","645286","","334432",""
"ISic002894","645287","","334657",""
